frame,initialCondition,method,s,order,nsteps,final_err,l2_err,t_elapsed
norwa,basis,controlled_filon,0,2,8192,0.0007673189582365537,0.011484095360446226,213.110602737
norwa,basis,controlled_filon,0,2,16384,0.0010205057716362867,0.014649734072503582,278.261912063
norwa,basis,controlled_filon,0,2,32768,0.0004629296900375585,0.006564870859996565,510.282775118
norwa,basis,controlled_filon,0,2,65536,0.0001373018953697136,0.001939951605215303,844.64156352
norwa,basis,controlled_filon,0,2,131072,3.5875184088872995e-5,0.0005064258797507539,1686.505778272
norwa,basis,controlled_filon,0,2,262144,9.069160698376683e-6,0.00012799447260843094,3151.380866531
norwa,basis,controlled_filon,0,2,524288,2.2736204083448784e-6,3.208619052941483e-5,5942.246541692
norwa,basis,controlled_filon,1,4,16,,,15.663499407
norwa,basis,controlled_filon,1,4,32,1.62032911452235e21,9.502391737358303e21,29.496437751
norwa,basis,controlled_filon,1,4,64,1.957655850695719e38,1.1478195441623097e39,58.976874539
norwa,basis,controlled_filon,1,4,128,1.957655850695719e38,1.1478195441623097e39,101.894745062
norwa,basis,controlled_filon,1,4,256,5.819976183930281e83,3.412263501862951e84,222.539368409
norwa,basis,controlled_filon,1,4,512,5.819976183930281e83,3.412263501862951e84,334.042169541
norwa,basis,controlled_filon,1,4,1024,0.0005079421299334752,0.015407880633156136,160.13164023
norwa,basis,controlled_filon,1,4,2048,0.00013088704271145565,0.0025029517463353032,85.393913533
norwa,basis,controlled_filon,1,4,4096,7.18685179528536e-5,0.0011455176672698541,246.412634649
norwa,basis,controlled_filon,1,4,8192,0.00027815131355141197,0.004058332583760381,361.328234878
norwa,basis,controlled_filon,1,4,16384,8.910974588203633e-5,0.0012470521386826557,535.961913386
norwa,basis,controlled_filon,1,4,32768,1.0797445073690598e-5,0.00015023968049167363,920.947054049
norwa,basis,controlled_filon,1,4,65536,8.076394313020272e-7,1.121823653791259e-5,1629.640447455
norwa,basis,controlled_filon,1,4,131072,5.283849825827656e-8,7.336541900668941e-7,3264.751773782
norwa,basis,controlled_filon,1,4,262144,3.468088924332826e-9,4.853164936686872e-8,5779.271910625
norwa,basis,controlled_filon,2,6,16,,,28.377204496
norwa,basis,controlled_filon,2,6,32,3.075044779077932e21,1.8087796991411488e22,53.268260846
norwa,basis,controlled_filon,2,6,64,1.496862062443496e48,8.776168953914634e48,104.804670676
norwa,basis,controlled_filon,2,6,128,2.1996910348298675e50,1.2900424269615986e51,196.434305872
norwa,basis,controlled_filon,2,6,256,8.159298717818339e193,Inf,339.438421155
norwa,basis,controlled_filon,2,6,512,8.159298717818339e193,Inf,482.481854038
